v8-version,4,4,63,30,0
code-creation,Stub,11,0x23d2c911220,292,"BinaryOpICStub(DIV:Smi*Smi->Smi)"
code-creation,Stub,11,0x23d2c911360,447,"BinaryOpICStub(MOD:Number*Smi->Number)"
tick,0xba05a1,22843,0,0x0,4
code-creation,Stub,11,0x23d2c911520,284,"BinaryOpICStub(MOD:Smi*Smi->Smi)"
code-creation,Stub,11,0x23d2c911640,256,"BinaryOpICStub(MUL:Int32*Int32->Int32)"
code-creation,Stub,11,0x23d2c911740,414,"BinaryOpICStub(MUL:Int32*Int32->Number)"
code-creation,Stub,11,0x23d2c9118e0,442,"BinaryOpICStub(MUL:Int32*Number->Number)"
code-creation,Stub,11,0x23d2c911aa0,256,"BinaryOpICStub(MUL:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c911ba0,414,"BinaryOpICStub(MUL:Int32*Smi->Number)"
code-creation,Stub,11,0x23d2c911d40,442,"BinaryOpICStub(MUL:Number*Int32->Number)"
tick,0x7fcd197d0350,23924,0,0x0,4
code-creation,Stub,11,0x23d2c911f00,466,"BinaryOpICStub(MUL:Number*Number->Number)"
code-creation,Stub,11,0x23d2c9120e0,442,"BinaryOpICStub(MUL:Number*Smi->Number)"
code-creation,Stub,11,0x23d2c9122a0,256,"BinaryOpICStub(MUL:Smi*Int32->Int32)"
code-creation,Stub,11,0x23d2c9123a0,414,"BinaryOpICStub(MUL:Smi*Int32->Number)"
code-creation,Stub,11,0x23d2c912540,442,"BinaryOpICStub(MUL:Smi*Number->Number)"
code-creation,Stub,11,0x23d2c912700,256,"BinaryOpICStub(MUL:Smi*Smi->Int32)"
code-creation,Stub,11,0x23d2c912800,414,"BinaryOpICStub(MUL:Smi*Smi->Number)"
code-creation,Stub,11,0x23d2c9129a0,256,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
tick,0x7fcd18c90187,25025,0,0x0,4
code-creation,Stub,11,0x23d2c912aa0,220,"BinaryOpICStub(SAR:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c912b80,220,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,11,0x23d2c912c60,344,"BinaryOpICStub(SAR:Number*Smi->Smi)"
tick,0x7fcd18c90187,26653,0,0x0,4
code-creation,Stub,11,0x23d2c912dc0,220,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
